brushing_frequency,flossing_frequency,sugary_food_frequency,gum_bleeding,dental_visits,brushing_duration,consistency_score,assessment_score,risk_level
2,1,6,0,2,4.9,94.5,58.6,High Risk
3,2,0,0,1,4.2,52.7,93.1,Low Risk
2,3,2,0,3,4.9,87.4,92.5,Medium Risk
3,3,1,0,1,3.7,50.9,89.8,Medium Risk
2,7,0,0,0,4.9,79.3,100.0,Low Risk
2,1,4,1,0,3.7,68.1,32.4,High Risk
2,0,1,0,1,2.2,81.6,55.4,High Risk
0,3,4,0,2,4.5,61.9,41.3,High Risk
1,4,3,0,1,1.7,45.7,42.1,High Risk
2,6,4,0,3,1.7,58.9,74.0,Medium Risk
2,7,3,0,2,4.4,65.6,96.2,Low Risk
2,2,2,0,4,1.6,84.3,72.2,Medium Risk
1,6,2,0,1,2.9,58.5,66.2,Medium Risk
3,5,5,0,2,4.7,84.0,95.8,Low Risk
3,7,3,0,1,4.3,63.8,100.0,Low Risk
2,0,1,0,0,1.2,57.1,40.8,High Risk
2,1,2,0,1,1.1,54.7,44.8,High Risk
2,4,3,0,3,4.8,74.1,89.9,Medium Risk
2,1,1,0,3,2.8,68.1,72.0,Medium Risk
2,0,0,0,3,1.3,46.3,59.7,High Risk
2,3,2,1,2,4.0,64.4,63.7,High Risk
2,0,1,0,3,1.1,59.0,55.5,Medium Risk
3,5,3,0,3,4.2,82.3,100.0,Low Risk
2,5,1,0,0,1.8,69.2,71.2,Medium Risk
3,1,3,0,3,2.2,46.5,70.2,Medium Risk
2,4,2,0,1,3.9,89.1,81.8,Low Risk
2,2,3,0,3,3.9,69.3,73.8,Medium Risk
2,1,2,0,1,1.7,83.5,52.7,High Risk
1,1,0,0,1,2.6,76.8,52.1,High Risk
1,3,2,0,3,3.9,74.1,69.5,Medium Risk
1,6,4,0,2,3.3,71.1,65.5,Medium Risk
3,5,3,0,3,4.4,70.2,100.0,Low Risk
1,5,2,0,0,4.9,54.4,67.6,High Risk
1,2,3,0,1,3.2,52.9,42.1,High Risk
2,6,3,0,0,4.8,78.1,85.5,Medium Risk
1,1,2,0,0,3.8,42.9,39.2,High Risk
1,3,4,0,0,4.5,63.4,46.5,High Risk
2,2,0,0,2,3.1,40.8,74.7,Medium Risk
2,6,2,1,1,4.6,65.1,77.4,Medium Risk
2,4,3,1,0,1.6,70.9,40.2,High Risk
0,0,2,0,0,1.4,46.4,5.4,High Risk
3,4,2,1,0,1.1,91.6,60.3,High Risk
1,0,3,0,1,4.1,41.4,35.8,High Risk
2,4,3,0,2,2.4,81.3,71.6,Medium Risk
2,1,0,0,4,3.3,63.0,84.2,Medium Risk
2,1,2,1,0,4.8,82.7,51.2,High Risk
1,0,2,0,3,1.5,85.4,41.8,High Risk
3,6,4,0,1,3.6,59.4,90.5,Medium Risk
3,3,3,0,3,3.2,72.4,90.1,Low Risk
3,1,4,1,1,1.9,66.6,41.4,High Risk
3,2,1,0,3,4.6,56.8,100.0,Low Risk
1,2,2,1,0,1.8,40.9,16.9,High Risk
2,0,1,0,2,3.2,65.4,64.0,High Risk
2,4,0,0,1,2.9,63.0,81.9,Low Risk
0,2,0,0,3,2.1,85.7,50.5,High Risk
1,0,1,0,0,3.9,49.6,40.8,High Risk
2,4,1,0,1,4.5,92.5,90.9,Low Risk
3,3,3,0,0,4.2,68.1,80.4,Medium Risk
2,1,1,0,1,1.4,53.6,51.4,High Risk
2,0,2,0,2,1.9,91.8,55.2,High Risk
1,3,6,0,2,1.8,58.9,29.6,High Risk
2,1,4,0,1,2.7,60.9,45.3,High Risk
2,7,3,0,4,4.2,79.5,100.0,Low Risk
1,2,1,0,2,3.9,58.4,62.2,High Risk
1,4,2,0,3,1.6,69.7,60.1,Medium Risk
3,2,1,0,2,3.4,87.7,93.6,Low Risk
1,4,2,0,0,4.0,65.6,58.8,High Risk
2,6,2,1,2,2.2,67.0,68.2,Medium Risk
3,0,4,1,1,2.2,53.0,36.2,High Risk
2,2,1,0,0,3.9,41.5,64.6,High Risk
2,3,3,0,3,1.4,92.8,67.3,Medium Risk
3,0,2,0,0,2.1,58.6,56.4,High Risk
2,4,2,0,4,4.3,80.5,97.9,Low Risk
2,0,3,0,1,4.2,49.1,52.6,High Risk
2,5,2,0,0,1.3,44.5,59.5,High Risk
2,2,1,0,1,3.7,82.0,74.5,Medium Risk
0,1,3,0,0,1.6,83.5,12.1,High Risk
2,1,2,0,1,3.0,84.2,60.6,High Risk
1,0,3,0,2,4.8,79.9,50.8,High Risk
3,7,1,0,1,5.0,58.0,100.0,Low Risk
1,4,0,0,1,3.9,71.2,74.1,Medium Risk
2,4,0,0,1,4.8,49.0,91.1,Low Risk
2,0,3,0,0,2.9,79.5,44.3,High Risk
3,0,3,1,0,2.2,41.3,34.4,High Risk
2,3,1,0,1,2.4,91.9,73.2,Medium Risk
2,0,2,0,0,2.9,86.3,50.3,High Risk
3,2,4,0,2,3.5,40.2,72.0,Medium Risk
3,2,4,0,1,3.2,92.8,73.1,Medium Risk
0,6,0,0,1,3.0,57.3,61.6,Medium Risk
2,4,0,0,1,3.6,89.7,90.1,Low Risk
2,1,3,0,1,3.9,72.8,59.3,High Risk
3,0,1,0,4,1.6,73.0,80.5,Medium Risk
2,1,7,1,4,3.3,71.2,35.5,High Risk
2,1,3,0,1,4.2,80.6,62.3,High Risk
2,1,4,0,2,1.8,45.3,42.6,High Risk
1,0,2,0,2,3.8,40.6,43.9,High Risk
2,2,3,0,2,3.2,91.8,68.0,High Risk
1,3,2,0,0,4.8,71.3,59.5,High Risk
0,2,1,0,1,2.5,68.7,35.3,High Risk
3,1,2,0,2,2.0,84.4,74.7,Medium Risk
2,2,3,0,3,4.6,46.0,74.5,Medium Risk
2,3,2,0,2,3.1,54.4,71.8,Medium Risk
3,5,4,0,2,1.3,57.4,76.4,Medium Risk
1,5,1,1,3,2.1,61.7,56.9,Medium Risk
2,4,1,0,1,2.3,75.4,75.1,Low Risk
1,0,6,0,4,3.1,47.5,30.7,High Risk
1,4,3,0,1,1.1,57.8,40.3,High Risk
2,3,1,0,2,2.2,53.9,71.3,Medium Risk
2,7,7,0,2,2.8,74.5,68.0,Medium Risk
1,0,2,0,1,1.3,77.2,29.4,High Risk
1,4,2,0,1,4.6,77.9,69.3,High Risk
2,3,0,1,1,2.1,73.4,58.6,High Risk
0,2,7,0,1,1.2,75.5,0.0,High Risk
2,4,2,0,2,4.7,43.5,84.7,Low Risk
3,1,2,0,2,4.3,45.2,82.6,Medium Risk
3,2,1,0,3,3.1,76.4,95.1,Low Risk
2,3,4,0,1,3.8,69.4,63.2,High Risk
2,2,2,0,4,2.9,40.6,73.5,Medium Risk
2,0,1,0,1,4.6,90.7,71.2,Medium Risk
2,7,1,0,1,4.2,60.9,99.3,Low Risk
2,1,1,0,1,3.4,40.1,61.4,High Risk
1,6,2,1,1,1.5,57.7,42.7,High Risk
3,2,0,0,2,1.6,64.2,84.2,Medium Risk
1,1,0,0,3,3.7,75.5,68.5,High Risk
0,1,4,0,2,1.6,83.1,17.1,High Risk
2,3,2,0,2,3.1,79.7,75.6,Medium Risk
3,5,4,0,4,1.1,55.5,84.9,Low Risk
1,2,6,1,1,1.7,71.4,5.9,High Risk
2,7,1,0,1,2.8,60.1,90.8,Low Risk
3,3,0,1,1,4.8,61.3,88.0,Medium Risk
1,0,2,0,3,1.3,94.4,42.0,High Risk
3,4,1,0,0,3.0,76.7,89.5,Low Risk
3,1,2,0,4,2.9,53.5,85.4,Medium Risk
2,4,6,0,0,4.8,52.4,56.7,High Risk
3,2,2,0,2,3.4,42.7,81.8,Medium Risk
2,1,3,0,2,4.4,47.6,63.5,High Risk
2,0,3,0,3,1.5,56.0,47.4,High Risk
2,0,4,0,3,3.9,90.2,61.9,High Risk
2,2,2,0,2,3.1,71.7,69.4,High Risk
3,5,1,0,1,1.3,77.0,89.3,Low Risk
1,4,3,0,2,4.6,88.1,70.8,Medium Risk
2,5,6,0,1,3.4,66.0,60.3,High Risk
1,4,3,1,2,3.4,55.1,43.7,High Risk
2,5,1,0,1,4.9,92.6,98.3,Low Risk
2,2,1,0,1,2.2,52.1,61.0,High Risk
2,1,0,0,3,2.0,58.0,70.7,Medium Risk
2,2,3,0,0,2.3,94.2,52.9,High Risk
3,0,3,0,1,4.8,41.1,70.0,High Risk
3,3,2,0,1,1.2,58.4,71.0,Medium Risk
2,0,0,1,2,3.1,71.2,54.3,High Risk
1,0,4,0,1,3.3,47.5,26.9,High Risk
3,3,0,1,2,4.6,40.5,88.7,Low Risk
2,4,4,0,1,3.6,75.8,68.0,High Risk
3,0,0,1,1,4.5,61.1,71.2,Medium Risk
3,2,2,0,4,1.6,93.0,88.5,Low Risk
3,4,0,0,3,2.2,43.8,99.8,Low Risk
2,5,2,0,1,1.3,93.4,71.8,Low Risk
1,2,2,0,1,3.7,89.4,55.6,High Risk
0,1,0,0,0,1.5,55.7,22.4,High Risk
1,2,1,0,1,2.2,90.1,51.7,High Risk
3,2,7,0,2,1.4,68.1,48.6,High Risk
2,0,3,0,2,1.4,90.4,47.0,High Risk
1,0,3,0,2,1.7,90.2,33.7,High Risk
2,4,2,0,0,2.2,88.0,66.4,High Risk
1,2,0,0,4,1.1,50.7,59.2,High Risk
1,2,3,1,4,4.9,76.0,55.8,High Risk
2,3,3,0,3,1.7,55.7,63.6,High Risk
2,1,0,0,2,3.0,46.9,70.0,Medium Risk
2,1,1,1,2,4.8,71.9,64.6,High Risk
3,2,5,0,2,3.2,72.4,70.1,Medium Risk
2,0,2,0,3,2.8,59.5,60.7,High Risk
1,0,0,0,2,4.2,77.5,61.8,High Risk
0,6,4,1,2,2.8,46.5,28.8,High Risk
2,3,2,0,2,4.8,78.2,85.5,Medium Risk
2,2,3,0,0,2.1,86.4,50.6,High Risk
3,0,7,0,1,4.3,68.6,51.1,High Risk
2,1,0,0,1,2.5,40.7,61.1,High Risk
2,2,3,0,2,4.1,60.9,68.7,High Risk
0,3,1,0,2,1.7,43.9,36.8,High Risk
2,5,1,0,0,1.1,48.2,63.8,Medium Risk
2,4,2,0,0,3.6,93.5,75.6,Medium Risk
2,5,0,0,3,3.3,72.7,100.0,Low Risk
1,0,2,0,1,4.2,65.0,45.0,High Risk
3,0,0,0,2,1.7,74.9,76.4,Medium Risk
2,0,6,0,3,2.7,62.4,40.6,High Risk
2,1,3,0,4,2.6,50.4,63.2,High Risk
2,3,3,0,3,5.0,66.1,84.9,Medium Risk
2,0,3,0,2,2.4,80.7,51.5,High Risk
2,5,2,1,3,2.3,59.3,67.7,Medium Risk
3,7,0,0,1,2.7,73.5,100.0,Low Risk
2,1,7,0,1,1.7,43.6,21.7,High Risk
2,1,1,1,1,3.3,68.9,50.1,High Risk
3,1,4,0,1,2.0,67.4,57.1,High Risk
1,4,2,0,3,2.3,45.9,60.7,High Risk
2,3,5,0,0,2.9,71.7,48.2,High Risk
1,7,1,0,4,1.0,49.3,78.4,Low Risk
2,3,3,0,0,4.3,84.2,68.4,High Risk
3,1,4,0,3,1.7,63.8,64.8,Medium Risk
1,2,4,0,3,3.3,68.5,50.1,High Risk
2,2,2,0,2,1.5,62.0,58.3,Medium Risk
2,5,3,1,2,2.6,77.4,62.2,High Risk
1,4,1,0,1,4.2,75.7,71.6,Medium Risk
3,3,3,0,1,1.9,75.5,72.7,Medium Risk
2,1,4,0,0,1.8,74.6,37.0,High Risk
2,4,5,0,3,1.0,88.9,59.3,Medium Risk
1,6,2,0,1,3.9,65.7,73.3,Medium Risk
2,1,2,0,1,3.0,86.9,61.0,High Risk
3,0,1,0,2,2.6,61.6,74.8,Medium Risk
2,4,6,1,2,3.1,62.5,43.0,High Risk
3,1,2,0,3,4.3,72.3,91.6,Medium Risk
0,3,1,1,4,3.1,86.1,46.5,High Risk
2,2,3,1,3,1.1,60.7,40.7,High Risk
2,1,6,0,3,4.3,84.8,58.5,High Risk
2,1,0,0,3,1.7,51.9,68.0,Medium Risk
2,1,2,0,2,1.9,40.9,52.5,High Risk
2,3,0,0,2,3.1,85.2,86.4,Low Risk
2,3,0,1,1,2.2,57.2,56.8,High Risk
2,0,4,0,2,2.7,50.0,43.7,High Risk
1,4,1,1,1,3.9,46.9,50.4,High Risk
2,3,3,0,1,1.4,53.9,51.5,High Risk
3,5,2,0,3,4.2,50.1,100.0,Low Risk
0,0,0,0,2,3.7,70.3,42.7,High Risk
3,7,4,0,1,2.7,85.5,94.0,Low Risk
1,1,0,0,2,4.6,62.2,66.9,High Risk
2,3,2,0,1,2.2,75.4,64.5,High Risk
2,0,2,0,1,2.2,67.1,48.3,High Risk
0,2,1,0,4,2.4,74.9,50.6,High Risk
2,3,0,0,1,1.0,69.1,66.4,Medium Risk
1,2,2,0,3,3.6,75.1,62.9,High Risk
2,3,1,0,3,1.3,59.9,71.8,Medium Risk
3,0,2,1,0,3.1,68.4,48.9,High Risk
2,1,2,0,0,1.9,60.2,45.4,High Risk
2,4,2,0,0,3.3,76.9,71.3,Medium Risk
2,1,2,1,1,2.3,82.0,41.1,High Risk
2,3,0,0,2,4.9,45.1,91.2,Medium Risk
2,6,4,0,1,3.7,57.6,75.8,Medium Risk
2,1,1,0,2,1.8,80.8,62.9,High Risk
3,6,6,0,0,2.1,68.9,67.9,Medium Risk
3,1,4,0,1,1.2,61.3,51.4,High Risk
3,2,0,0,0,1.0,66.1,70.9,Medium Risk
3,4,1,0,0,2.1,91.6,86.3,Medium Risk
3,7,2,1,1,1.1,91.3,80.3,Medium Risk
0,2,2,0,0,2.8,44.2,23.4,High Risk
2,2,2,1,0,4.2,44.5,46.9,High Risk
2,2,2,0,1,4.9,56.7,72.9,Medium Risk
3,2,3,0,4,1.8,46.3,77.7,Medium Risk
2,2,2,0,1,2.4,53.2,57.4,High Risk
3,0,2,0,1,4.4,48.4,73.7,Medium Risk
3,3,0,1,1,1.5,50.7,66.6,Medium Risk
2,0,3,0,1,1.3,61.8,37.1,High Risk
2,1,3,0,0,1.9,67.4,41.5,High Risk
0,2,3,0,1,3.0,49.8,25.5,High Risk
2,2,2,0,1,1.2,45.2,49.0,High Risk
2,0,3,1,2,2.2,51.2,30.9,High Risk
1,3,2,0,2,4.9,54.7,67.6,High Risk
2,5,4,0,3,2.9,43.4,73.9,Medium Risk
1,1,3,0,0,2.8,77.0,33.3,High Risk
2,3,5,0,0,4.2,62.0,54.5,High Risk
3,6,4,0,3,2.6,65.3,95.4,Low Risk
2,3,2,0,0,3.0,79.3,64.9,High Risk
3,3,3,0,2,4.5,63.5,91.5,Medium Risk
2,0,1,1,3,1.5,93.8,48.1,High Risk
2,2,2,0,1,2.2,67.0,58.2,High Risk
2,3,0,0,4,2.4,91.9,93.2,Low Risk
3,3,1,0,0,1.4,55.3,71.7,Medium Risk
3,4,0,0,1,4.1,78.2,100.0,Low Risk
3,0,0,0,1,5.0,58.4,88.8,Medium Risk
2,4,0,0,1,3.0,57.4,81.6,Low Risk
1,7,1,0,2,4.3,54.9,89.0,Low Risk
3,5,2,0,2,3.0,54.0,96.1,Low Risk
3,2,0,0,3,3.5,44.4,97.7,Low Risk
3,2,3,0,3,1.1,64.4,71.3,Medium Risk
2,0,0,0,2,2.8,59.5,65.7,Medium Risk
3,7,2,0,1,2.4,71.3,100.0,Low Risk
1,2,2,1,3,2.7,81.1,43.4,High Risk
1,0,2,0,0,2.2,85.8,31.1,High Risk
2,0,0,0,1,4.7,44.1,69.8,High Risk
3,3,1,0,1,2.6,57.9,84.3,Low Risk
2,5,4,0,1,1.9,72.7,62.3,High Risk
2,3,3,1,3,2.0,78.9,53.8,High Risk
3,4,0,0,1,3.1,83.8,100.0,Low Risk
2,3,2,0,2,3.6,58.5,75.4,Medium Risk
3,7,2,0,0,3.6,82.1,100.0,Low Risk
1,4,0,1,3,3.0,46.1,59.9,Medium Risk
2,2,0,1,0,2.3,63.0,48.2,High Risk
3,2,6,0,3,4.7,78.6,80.0,Medium Risk
2,4,3,0,0,3.1,50.9,61.2,High Risk
1,0,4,0,2,5.0,76.1,46.4,High Risk
2,2,3,0,1,4.7,88.6,71.5,Medium Risk
2,0,2,0,0,4.2,52.2,53.0,High Risk
2,0,4,0,0,2.9,75.6,38.7,High Risk
2,4,0,0,1,4.7,94.3,97.3,Low Risk
2,0,1,0,0,2.2,85.8,51.1,High Risk
3,0,4,0,2,3.7,69.3,67.6,High Risk
1,6,2,0,4,2.9,63.2,81.9,Medium Risk
2,0,0,0,1,4.0,69.1,69.4,High Risk
2,5,2,0,0,4.8,86.3,86.7,Medium Risk
1,3,2,0,3,4.1,59.4,68.5,Medium Risk
1,3,0,1,0,1.2,51.8,30.0,High Risk
3,3,3,0,2,2.4,81.1,81.6,Medium Risk
3,3,2,0,4,1.3,77.6,89.4,Low Risk
2,2,4,0,2,3.6,86.1,64.5,High Risk
1,1,3,0,2,4.2,71.6,50.9,High Risk
2,4,4,0,3,3.9,64.4,78.1,Medium Risk
2,0,2,1,1,2.1,57.6,31.2,High Risk
2,3,0,0,4,4.6,43.1,99.1,Medium Risk
2,4,6,0,1,1.7,54.1,43.3,High Risk
1,4,1,0,1,4.2,73.2,71.2,Medium Risk
1,1,3,0,2,3.4,59.7,44.4,High Risk
2,1,1,0,1,3.1,44.3,60.2,High Risk
3,3,3,0,2,3.0,61.6,82.2,Medium Risk
2,6,7,0,2,2.7,40.8,57.3,High Risk
1,4,2,0,0,3.6,81.3,58.8,High Risk
1,0,7,0,1,4.3,50.4,18.4,High Risk
1,0,2,0,4,2.2,54.0,46.3,High Risk
1,3,2,1,3,1.5,58.8,37.8,High Risk
1,1,2,0,2,5.0,74.5,61.2,High Risk
2,6,1,1,2,2.6,46.3,72.5,Medium Risk
2,2,2,0,1,1.4,66.7,53.4,High Risk
2,4,1,0,1,4.8,46.8,85.8,Low Risk
2,5,3,0,1,3.4,84.1,78.0,Medium Risk
2,2,1,1,4,4.3,90.1,79.3,Medium Risk
2,5,3,0,1,3.3,52.8,72.7,Medium Risk
3,2,1,0,2,3.4,62.1,89.7,Medium Risk
3,3,2,0,3,1.0,77.1,82.6,Medium Risk
2,1,2,1,0,4.7,72.1,49.0,High Risk
1,1,7,1,2,4.4,48.0,13.6,High Risk
0,5,2,0,2,4.5,54.0,60.1,High Risk
0,3,0,0,0,3.5,45.3,42.8,High Risk
2,2,2,0,1,2.2,46.8,55.2,High Risk
1,2,2,0,3,1.1,63.8,46.2,High Risk
1,2,6,0,1,2.6,53.5,23.6,High Risk
2,0,0,0,0,4.9,46.0,66.3,High Risk
1,7,3,0,4,4.2,89.1,93.6,Medium Risk
2,6,2,0,1,4.6,91.2,96.3,Low Risk
0,2,0,0,4,2.9,66.5,57.4,High Risk
3,6,3,0,4,1.3,42.0,94.1,Low Risk
2,0,2,0,2,4.4,94.8,70.6,Medium Risk
3,7,1,0,4,2.7,69.0,100.0,Low Risk
2,3,2,0,1,4.8,84.8,81.5,Medium Risk
2,1,0,0,3,1.6,76.5,71.1,Medium Risk
1,2,0,0,3,2.8,94.2,70.9,Medium Risk
2,2,3,0,0,1.0,71.5,41.7,High Risk
1,2,0,1,0,4.4,71.4,47.1,High Risk
2,5,1,0,3,3.7,84.7,99.9,Low Risk
3,1,1,0,2,5.0,64.6,94.7,Medium Risk
1,3,1,0,0,1.2,53.9,40.3,High Risk
3,1,2,0,0,4.5,41.1,73.2,Medium Risk
2,3,3,0,1,4.0,93.3,73.0,Medium Risk
3,4,2,0,3,4.1,61.0,100.0,Low Risk
3,0,2,0,3,3.1,67.1,78.7,Medium Risk
2,1,6,1,0,3.0,57.3,16.6,High Risk
2,2,3,0,1,2.9,43.0,53.9,High Risk
3,5,1,0,2,1.4,48.8,90.7,Low Risk
2,3,1,1,4,3.4,67.9,75.6,Medium Risk
1,2,2,0,1,3.8,55.3,51.1,High Risk
2,2,1,1,0,4.0,50.0,51.5,High Risk
1,5,3,0,0,3.3,50.4,52.4,High Risk
1,2,3,1,2,1.4,66.7,23.4,High Risk
1,3,4,0,0,2.7,48.7,33.5,High Risk
3,6,1,0,0,2.8,72.1,97.6,Low Risk
3,7,7,0,2,2.1,70.2,78.1,Medium Risk
1,6,1,0,3,1.8,66.9,75.8,Low Risk
2,4,2,1,1,4.2,65.8,65.1,Medium Risk
2,0,2,0,3,2.2,81.5,60.4,High Risk
2,0,0,0,2,2.8,88.1,70.0,Medium Risk
2,3,5,0,1,3.0,41.4,49.2,High Risk
1,3,3,0,4,3.5,67.2,66.1,High Risk
2,3,3,0,1,3.0,76.9,64.5,High Risk
1,1,4,0,2,3.1,52.5,36.5,High Risk
2,7,1,0,0,3.1,70.2,89.1,Low Risk
1,1,2,0,2,1.9,86.0,44.3,High Risk
2,2,0,0,3,1.0,50.6,68.6,Medium Risk
2,3,0,0,1,3.6,64.6,81.3,Medium Risk
3,4,1,0,0,4.1,49.2,92.0,Medium Risk
2,5,1,0,0,2.9,83.4,79.9,Medium Risk
3,2,3,0,1,3.5,65.8,75.9,Medium Risk
2,5,2,0,2,4.0,71.2,89.7,Low Risk
2,0,3,0,3,2.1,87.3,55.7,High Risk
3,0,0,0,1,4.7,49.1,85.6,Medium Risk
3,3,1,1,1,1.3,48.7,60.1,High Risk
1,2,2,0,1,4.8,92.1,62.6,High Risk
2,3,0,0,4,2.0,71.8,87.8,Low Risk
2,7,2,0,1,3.9,92.8,97.3,Low Risk
3,3,2,1,2,3.4,59.1,74.3,Medium Risk
1,2,1,1,4,4.3,61.0,59.9,High Risk
2,1,1,0,1,1.1,75.6,52.9,High Risk
2,1,3,0,1,3.2,53.5,52.2,High Risk
1,4,0,1,2,1.2,71.9,48.0,High Risk
1,4,3,1,3,3.9,48.0,50.6,High Risk
3,1,4,0,2,2.4,69.1,64.8,Medium Risk
1,0,0,0,0,4.3,45.6,47.6,High Risk
1,0,3,0,2,2.6,72.9,36.5,High Risk
2,3,4,0,3,1.5,53.2,57.0,High Risk
2,4,3,0,1,2.5,53.1,63.0,Medium Risk
2,1,1,1,1,3.6,53.5,49.6,High Risk
1,6,1,0,3,4.9,46.4,91.4,Low Risk
3,5,3,0,2,1.5,44.2,80.6,Medium Risk
2,7,3,0,2,2.3,72.4,84.7,Low Risk
1,3,2,0,1,1.3,79.1,44.7,High Risk
2,2,3,1,0,1.3,41.9,24.1,High Risk
3,5,4,0,1,3.4,49.4,82.8,Medium Risk
1,1,2,1,0,4.7,47.1,30.3,High Risk
1,0,1,1,2,1.5,55.5,22.3,High Risk
3,3,3,0,0,3.1,71.2,74.3,Medium Risk
2,0,3,0,0,2.8,82.1,44.1,High Risk
3,1,3,1,3,2.7,41.7,57.5,High Risk
1,6,0,0,0,1.8,44.9,62.5,High Risk
2,0,1,0,1,4.4,59.0,65.2,High Risk
2,1,7,0,2,4.1,53.0,42.5,High Risk
2,1,2,0,4,1.8,78.5,67.6,Medium Risk
2,5,2,0,2,2.8,88.7,85.1,Low Risk
1,5,0,0,3,3.2,42.5,80.6,Medium Risk
1,0,1,0,0,1.2,52.1,25.0,High Risk
1,2,4,0,3,4.5,68.7,57.3,High Risk
2,0,1,0,0,2.4,66.2,49.3,High Risk
2,4,0,0,1,2.2,57.2,76.8,Low Risk
2,6,4,0,1,2.0,60.3,66.0,Medium Risk
1,3,1,1,3,4.8,65.8,63.7,High Risk
3,3,5,0,2,1.1,52.1,59.4,Medium Risk
0,0,0,0,1,3.3,85.5,37.6,High Risk
1,5,3,0,1,2.9,78.5,59.2,High Risk
3,1,3,0,1,2.3,84.6,66.5,Medium Risk
0,4,5,0,0,4.8,75.6,35.1,High Risk
2,4,5,0,2,3.6,40.8,62.7,High Risk
3,2,1,0,1,3.1,76.2,85.0,Medium Risk
0,0,1,0,1,1.1,94.0,20.7,High Risk
1,3,3,1,2,4.2,52.5,43.1,High Risk
2,5,5,0,1,4.8,69.3,74.2,Medium Risk
2,1,3,0,1,2.4,45.3,46.2,High Risk
3,3,2,1,0,2.1,94.3,61.7,High Risk
3,3,2,1,3,2.9,43.2,73.9,Medium Risk
2,0,3,0,0,2.7,62.8,40.6,High Risk
3,0,0,0,2,3.2,79.8,86.2,Medium Risk
2,0,2,0,0,4.7,69.1,58.6,High Risk
2,5,4,0,0,1.9,55.3,54.7,High Risk
1,5,2,1,0,3.3,55.9,43.2,High Risk
2,3,1,0,3,3.7,78.9,89.0,Medium Risk
2,1,3,0,4,1.6,60.5,58.7,High Risk
1,0,5,1,2,3.0,72.2,13.8,High Risk
2,3,0,0,2,1.3,50.8,70.4,Medium Risk
2,4,4,0,1,2.4,86.9,62.4,High Risk
1,3,0,0,0,2.4,80.5,56.5,High Risk
2,1,2,1,1,3.8,80.4,49.9,High Risk
3,1,2,0,0,4.0,92.9,77.9,Medium Risk
2,2,1,0,1,4.9,55.8,77.8,Medium Risk
2,3,1,1,1,4.8,66.0,68.7,High Risk
3,0,0,0,1,2.1,74.4,73.8,Medium Risk
2,1,1,1,2,2.7,47.7,48.4,High Risk
3,2,3,0,2,2.8,66.8,76.8,Medium Risk
2,0,3,1,3,2.1,67.3,37.7,High Risk
2,4,0,1,1,4.5,46.2,73.9,Medium Risk
2,6,3,0,2,4.0,72.0,89.8,Low Risk
1,1,1,0,4,4.9,85.7,77.3,Medium Risk
2,7,4,0,1,1.4,62.7,67.8,Medium Risk
3,0,2,1,4,2.2,55.9,61.6,High Risk
3,4,1,1,1,2.5,91.1,78.7,Medium Risk
3,4,1,1,0,4.0,87.6,82.1,Medium Risk
2,1,1,0,2,2.9,65.7,67.3,Medium Risk
1,1,3,0,3,4.5,41.8,53.3,High Risk
3,4,5,0,4,1.2,56.4,75.7,Medium Risk
1,4,2,0,1,1.5,50.3,46.5,High Risk
1,4,2,1,0,2.3,64.9,33.5,High Risk
3,4,4,0,2,3.4,74.1,86.5,Medium Risk
2,3,0,0,4,3.2,68.8,94.5,Low Risk
2,5,3,0,3,3.3,72.6,85.7,Medium Risk
3,7,3,0,0,1.2,68.6,82.5,Medium Risk
2,6,1,0,1,3.9,75.0,94.7,Low Risk
2,4,1,0,2,4.9,75.4,95.7,Low Risk
1,4,1,0,1,3.0,48.3,60.2,High Risk
1,2,2,0,3,4.9,76.8,70.9,Medium Risk
0,1,1,1,2,3.9,68.3,28.6,High Risk
3,3,4,1,1,2.7,89.2,59.6,High Risk
2,4,0,0,1,4.3,69.2,91.2,Low Risk
1,5,2,0,2,4.3,60.7,74.9,Medium Risk
3,2,1,1,2,2.7,61.0,70.4,Medium Risk
3,2,0,1,1,4.9,64.8,84.1,Medium Risk
3,2,0,1,2,3.1,80.9,80.7,Medium Risk
2,6,2,1,0,2.8,81.5,64.0,High Risk
2,0,3,0,3,2.1,79.7,54.6,High Risk
2,3,2,0,3,1.6,75.1,70.9,Medium Risk
2,6,4,0,1,1.8,55.1,64.1,High Risk
1,0,6,0,2,2.3,53.5,16.8,High Risk
0,0,2,0,1,1.9,73.4,17.4,High Risk
1,3,3,0,1,3.3,50.5,47.4,High Risk
0,1,0,1,1,1.6,70.1,15.1,High Risk
0,1,0,0,1,3.4,82.8,42.8,High Risk
3,5,3,0,2,3.0,64.9,92.7,Low Risk
2,7,3,0,1,2.8,88.9,85.1,Medium Risk
2,2,2,0,0,3.8,92.9,66.7,High Risk
3,6,4,1,0,2.0,42.3,58.3,High Risk
3,3,5,0,1,2.1,85.7,65.5,High Risk
3,4,4,0,1,2.8,78.2,78.5,Medium Risk
0,2,5,0,1,1.4,63.2,7.9,High Risk
2,0,1,0,2,3.9,54.3,66.5,Medium Risk
1,1,1,0,1,1.8,79.5,42.7,High Risk
3,4,3,0,0,1.3,46.2,64.7,Medium Risk
2,0,1,0,1,3.7,59.1,61.1,High Risk
1,1,2,0,0,3.5,41.3,37.2,High Risk
3,5,0,0,2,2.6,68.2,100.0,Low Risk
3,2,3,0,2,2.7,89.1,79.6,Medium Risk
